CLASS;FC;FE;CL;SOMCPH;FTOTAL;FRNAPH;FRNAPH I;FRNAPH II;FRNAPH III;FRNAPH IV;RYC2056;COP;ETHYLCOP;EPICOP;CHOL;DiE;FM-FS;Hir;DiC;ECP;ECT;GA17;Dentium;Adolescentis;DA;HBSA-Y;HBSA-T
P1-PL10;370000;60000;20000;40000;8500;8500;95,9;1;3,1;0;1400;2,54648082769198;13,991715157426;0,907678347980924;75,8184232160889;0,868;70;0;0,924;92;67;<20;0;0;0;<  2951;295120
P1-PL11;96000000;2300000;13000;5200000;1200000;1190000;26,8;1,3;34,3;37,6;65000;0,900313654838149;16,2034614248888;0,87971995363955;81,1827337744947;0,913;67;0;0,859;100;71;<20;0;0;0;<  1548816;48977881
P1-PL12;18000000;8300000;9000;4100000;2000000;1980000;35,7;0;62;2,1;67000;6,69640982369255;33,758373424362;34,3801890464268;507,287720110407;0,964;100;88;0,964;100;88;<20;0;0;0;<  870963;27542287
P1-PL13;5000000;300000;30000;7900000;760000;750000;63;0;22;16;810000;129,7;154,6;51,7;1986,2;0,982;67;4;0,982;100;92;<20;0;0;0;199526;14454397
P1-PL14;1900000;770000;30000;3200000;160000;1600;24;0;60;16;19000;142,7;892,9;220,3;626,6;0,913;54;0;0,913;100;100;<20;0;1;1;501187;29512092
P1-PL15;23000000;540000;40000;3400000;170000;160000;27;0;73;0;44000;5,3;16,1;1,1;1452;0,971;71;8;0,917;100;92;<20;0;0;0;295129;32359365
P1-PL16;67000000;1100000;26000;15000000;19000000;19000000;0;0;100;0;130000;34,4;85,9;19,2;55,9;0,895;92;0;0,975;100;96;<20;0;0;0;467735;20892961
P2-HM17;3954545,45454545;1522522,52252252;29180,6958473625;1400000;285000;280000;14;56;29;1;14750;191,111111111111;164,8;49,6;192,8;0,808;96;0;0,986;92;92;2522,52252252252;1;1;2;2809523,80952381;5809523,80952381
P2-HM18;2619047,61904762;966666,666666667;69243,1561996779;468181,818181818;495000;494000;4;66;19;11;21500;255;<0,1;87,2;184,1;0,88;83;4;0,986;92;92;3818,18181818182;0;1;1;800000;1619047,61904762
P2-HM19;3000000;1477272,72727273;42087,5420875421;8272727,27272727;4090909,09090909;2360909,09090909;0;39,8550724637681;51,4492753623188;8,69565217391304;40000;704,3;111,8;128,2;401,1;0,899;96;0;0,935;96;96;23416,6666666667;1;1;2;11304347,826087;31304347,826087
P2-HM20;3809523,80952381;1113043,47826087;81649,8316498316;1422727,27272727;610000;595500;0;78;20;2;20000;766,6;310,8;360,9;536,7;0,888;100;0;0,975;96;96;16083,3333333333;1;1;2;812500;3906250
P2-HM22;6062500;1600000;86700,3367003367;846153,846153846;325000;284000;0;71;24;5;26500;582,5;293,5;498,7;486,4;0,844;100;0;0,971;96;96;19000;1;1;2;866666,666666667;1766666,66666667
P2-HM23;5700000;1866666,66666667;99326,5993265993;1092307,69230769;415000;371000;0;79;15;6;21500;2347,33;495,66;2035;1285,33;0,87;96;4;0,978;96;96;22500;1;1;2;633333,333333333;1800000
P2-HM24;5645161,29032258;1935483,87096774;142255,892255892;2933333,33333333;490000;455000;2;64;30;4;49000;579,75;2984,87;301;814,37;0,895;96;0;0,975;100;100;16000;1;1;2;609756,097560976;2219512,19512195
P2-HM25;4478260,86956522;1253846,15384615;47979,797979798;1234782,60869565;265000;233000;6;63;25;6;56000;387,1;1047,6;3,5;395,3;0,888;88;0;0,986;92;92;10666,6666666667;0;1;1;5000000;20000000
P2-HM26;6151515,15151515;1900000;110269,36026936;204545,454545455;477272,727272727;438772,727272727;3;70;27;0;33000;313,3;402;265,9;494,5;0,88;88;0;0,967;96;92;14000;0;1;1;1031250;2781250
P2-CW13;3090909,09090909;272727,272727273;8978,67564534231;5400000;3010000;3010000;1;0;99;0;150;188,76;11000,77;3816,92;4206,15;0,953;83;4;0,931;100;100;<100;0;1;1;<5E+04;2045454,54545454
P2-CW14;7952380,95238095;431818,181818182;10101,0101010101;11900000;<100;0;0;0;0;0;<50;413;36222;1820;5434;0,96;42;33;0,848;100;100;<100;0;1;1;<5E+05;8500000
P2-CW15;3380952,38095238;322727,272727273;74074,0740740741;4600000;<100;0;0;0;0;0;<100;249;33784;1794;4965;0,775;4;42;0,913;100;100;<100;0;1;1;<5E+04;2045454,54545454
P2-CW16;5285714,28571429;108264,462809917;22446,6891133558;23250000;900;900;86;0;14;0;<100;176;3773;206;633;0,804;46;42;0,884;100;100;<100;1;1;2;<1E+04;863636,363636364
P2-CW17;881818,181818182;122272,727272727;14309,7643097643;3000000;11150000;11150000;1;0;98;1;400;1644;7618;6232;4003;0,982;67;4;0,964;100;100;<50;1;1;2;<4,35E+04;7869565,2173913
P2-CW18;4677419,35483871;578260,869565217;35353,5353535353;2050000;6600000;6594190,47619048;0;0;97;3;4000;285;7557;1739;1629;0,971;67;4;0,978;100;96;<50;0;0;0;64516,1290322581;4935483,87096774
P2-CW19;3281250;943478,260869565;8008,00800800801;3096774,19354839;2350000;2340636,36363636;0;1;96;3;1333,33333333333;91;7609;316;770;0,957;67;12;0,924;100;100;<50;0;0;0;<3,33E+05;18000000
P2-CW21;2043478,26086956;976923,076923077;10874,2463393626;3700000;2610000;2606636,36363636;3;0;93;3;4000;82;5115;1328;703;0,953;50;0;0,859;100;100;<50;0;0;0;<3,33E+05;68000000
P2-CW22;1218750;1750000;43209,8765432099;6409090,90909091;1272727,27272727;937727,272727273;1;0;97;2;1636,36363636364;56;7255;919;940;0,938;88;0;0,938;96;96;<50;0;0;0;782608,695652174;3695652,17391304
P3-HM13;20000000;1200000;110000;1300000;900000;830000;0;0;0;0;2300;20,2;<1;1,4;11,6;0,902;83;4;0,982;75;67;1900;0;1;1;5800000;35000000
P3-HM14;3600000;310000;47000;120000;36000;35000;0;0;0;0;1100;20,5;<1;1;<1;0,442;94;0;1;67;67;1700;1;1;2;3300000;11000000
P3-HM15;7600000;560000;210000;560000;650000;560000;3,2258064516129;87,0967741935484;7;3,2258064516129;12000;32,33;<1;26;23;0,982;75;21;0,978;50;50;16000;0;1;1;1800000;30000000
P3-HM17;5500000;720000;72000;610000;590000;560000;8,33333333333333;25;58,3333333333333;8,33333333333333;41000;18,2;<1;1,6;8;0,895;88;4;0,826;54;54;27000;0;1;1;2100000;14000000
P3-HM18;3100000;310000;120000;260000;140000;120000;0;50;37,5;12,5;12000;221;<1;3;12;0,953;83;4;0,993;63;58;9800;0;1;1;2400000;19000000
P3-HM20;765765,765765766;673423,423423424;227272,727272727;345454,545454545;200000;40000;17,156862745098;26,4705882352941;22,0588235294118;34,3137254901961;1000;5;1,6;<1;5;0,96;71;4;0,913;58;58;700;0;1;1;4090909,09090909;14636363,6363636
P3-HM21;3500000;627027,027027027;4140,00414000414;203636,363636364;188181,818181818;48181,8181818182;13,5135135135135;24,3243243243243;45,945945945946;16,2162162162162;700;7,2;1,8;<1;7,4;0,957;67;4;0,834;100;92;1400;0;1;1;2800000;7545454,54545455
P3-CW13;380000;120000;180000;25000;< 100;0;0;0;0;0;100;<1;48;<1;<1;0,758;67;33;0,909;100;100;< 50;0;0;0;< 10000;5100000
P3-CW/HS14;3900000;350000;33000;65000;< 1000;0;0;0;0;0;< 50;10;765;5;150;0,311;90;0;0,605;96;96;< 50;0;0;0;< 10000;6600000
P3-CW17;261261,261261261;119801,98019802;42342,3423423423;310000;200;0;0;0;0;0;200;6,66;313,3;6,7;66,6;0,091;0;96;16;0,8;100;<100;0;0;0;<10000;70000
